Symbol,Sector,Market Cap,Price,Price/Sales,Price/Earnings,Dividend Yield
JEC,Industrials,6.84,56.51,0.64,30.55,1.06
SJM,Consumer Staples,16.21,139.17,2.2,24.23,2.14
JNJ,Health Care,335.99,123.83,4.67,20.88,2.59
JCI,Industrials,38.93,41.47,0.98,-10000,2.66
JPM,Financials,325.49,91.41,3.62,14.77,2.07
JNPR,Information Technology,10.75,28.15,2.16,18.4,1.41
KSU,Industrials,9.49,89,4.08,20.09,1.47
K,Consumer Staples,26.03,74.14,2,37.83,2.79
KEY,Financials,20.15,18.79,4.31,23.46,1.78
KMB,Consumer Staples,47.52,133.38,2.61,22.27,2.9
KIM,Real Estate,9.68,22.75,8.41,28.8,4.62
KMI,Energy,48.29,21.63,3.72,87.93,2.3
KLAC,Information Technology,14.27,91.04,4.37,16.55,2.39
KSS,Consumer Discretionary,6.87,39.51,0.37,12.7,4.96
KHC,Consumer Staples,110.52,90.8,4.19,32.31,2.62
KR,Consumer Staples,26.62,28.81,0.24,14.05,1.62
LB,Consumer Discretionary,14.35,50.17,1.17,12.61,4.59
LLL,Industrials,13.15,169.07,1.25,18.77,1.79
LH,Health Care,14.54,142.09,1.54,20.24,0
LRCX,Information Technology,19.12,117.43,3.02,21.05,1.52
LEG,Consumer Discretionary,6.63,48.83,1.77,17.72,2.75
LEN,Consumer Discretionary,11.89,50.71,1.07,12.89,0.32
LUK,Financials,9.59,26.66,0.88,79.11,0.94
LVLT,Telecommunications Services,20,55.46,2.48,29.66,-10000
LLY,Health Care,86.95,82.74,4.15,32.07,2.48
LNC,Financials,15.6,69.25,1.18,13.77,1.63
LLTC,Information Technology,15.73,65.33,10.61,32.02,2.04
LKQ,Consumer Discretionary,9.51,30.89,1.12,20.66,-10000
LMT,Industrials,77.75,269.04,1.64,15.38,2.72
L,Financials,15.97,47.45,1.22,24.59,0.52
LOW,Consumer Discretionary,70.01,80.84,1.08,23.3,1.71
LYB,Materials,36.72,91.23,1.26,10,3.69
MTB,Financials,25.71,166.73,5.04,21.44,1.7
MAC,Real Estate,9.39,65.27,8.73,18.54,4.27
M,Consumer Discretionary,9.37,30.81,0.36,15.48,4.75
MNK,Health Care,5.2,49.71,1.58,19.29,-10000
MRO,Energy,13.79,16.28,3.41,-10000,1.24
MPC,Energy,26.47,50.15,0.48,22.69,2.81
MAR,Consumer Discretionary,33.04,86.15,9.43,32.63,1.38
MMC,Financials,37.91,73.62,2.88,21.78,1.83
MLM,Materials,13.24,209.93,3.79,31.66,0.77
MAS,Industrials,10.57,33.25,1.45,22.62,1.17
MA,Information Technology,119.61,110.96,11.14,30.07,0.79
MAT,Consumer Discretionary,8.57,25.02,1.6,27.2,5.97
MKC,Consumer Staples,12.39,99,2.82,26.83,1.89
MCD,Consumer Discretionary,104.89,128.07,4.26,23.54,2.94
MCK,Health Care,31.22,147.24,0.16,17.47,0.73
MJN,Consumer Staples,16.2,88.33,4.33,30.25,1.87
MDT,Health Care,111.7,81.4,3.81,28.73,2.1
MRK,Health Care,181.1,65.96,4.58,46.78,2.82
MET,Financials,58.01,53.35,0.93,84.68,2.92
MTD,Health Care,12.48,481.3,4.96,33.85,-10000
KORS,Consumer Discretionary,5.84,36.02,1.28,8.23,-10000
MCHP,Information Technology,15.98,73.84,5.22,179.66,1.97
MU,Information Technology,28.27,25.64,2.18,-10000,0
MSFT,Information Technology,497.65,64.4,5.8,30.31,2.43
MAA,Real Estate,11.44,100.78,10.16,37.48,3.44
MHK,Consumer Discretionary,16.86,227.3,1.89,-10000,-10000
TAP,Consumer Staples,20.85,96.99,4.32,10.48,1.64
MDLZ,Consumer Staples,66,43.23,2.57,41.17,1.74
MON,Materials,50.46,115.06,3.61,31.55,1.88
MNST,Consumer Staples,26.46,46.7,8.73,39.24,-10000
MCO,Financials,21.5,112.66,5.94,82.84,1.35
MS,Financials,86.46,46.33,2.51,15.86,1.71
MSI,Information Technology,13.12,79.66,2.18,24.59,2.33
MUR,Energy,4.78,27.74,2.69,-10000,3.57
MYL,Health Care,23.2,43.33,2.13,47.1,0
NDAQ,Financials,11.83,70.93,3.21,110.83,1.8
NOV,Energy,14.88,39.3,2.08,-10000,0.5
NAVI,Financials,4.23,14.54,2.03,6.86,4.29
NTAP,Information Technology,11.56,42.66,2.13,38.96,1.78
NFLX,Information Technology,60.87,141.43,6.92,328.91,-10000
NWL,Consumer Discretionary,23.41,48.53,1.78,38.89,1.54
NFX,Energy,7.08,35.86,4.85,-10000,-10000
NEM,Materials,17.52,32.98,2.61,-10000,0.59
NWSA,Consumer Discretionary,7.36,12.66,0.92,-10000,1.55
NWS,Consumer Discretionary,7.56,13,0.94,-10000,1.51
NEE,Utilities,61.09,130.65,3.78,20.9,3
NLSN,Industrials,15.91,44.5,2.52,32.01,2.77
NKE,Consumer Discretionary,93.56,56.55,2.8,24.93,1.27
NI,Utilities,7.6,23.5,1.7,23.02,2.95
NBL,Energy,15.5,35.88,4.69,-10000,1.09
JWN,Consumer Discretionary,7.49,44.03,0.52,21.8,3.19
NSC,Industrials,35.45,122,3.61,21.7,1.99
NTRS,Financials,20.22,88.39,4.02,20.46,1.71
NOC,Industrials,42.56,243.78,1.73,20,1.48
NRG,Utilities,5.4,17.1,0.44,-10000,0.69
NUE,Materials,19.43,60.93,1.24,24.55,2.41
NVDA,Information Technology,58.16,98.74,8.33,38.42,0.57
ORLY,Consumer Discretionary,24.73,269.82,2.87,25.15,-10000
OXY,Energy,49.45,64.7,4.9,-10000,4.69
OMC,Consumer Discretionary,19.72,84.09,1.28,17.59,2.58
OKE,Energy,11.92,56.58,1.34,34.08,4.36
ORCL,Information Technology,174.76,42.6,4.69,20.33,1.41
PCAR,Industrials,23.71,67.57,1.41,45.66,1.4
PH,Industrials,20.99,157.49,1.88,24.3,1.68
PDCO,Health Care,4.18,44.15,0.74,24.23,2.13
PAYX,Information Technology,22.31,62.16,7.31,28.91,2.94
PYPL,Information Technology,51.79,42.89,4.77,37.3,-10000
PNR,Industrials,10.71,58.9,2.19,20.62,2.33
PBCT,Financials,5.9,19.09,4.65,20.8,3.51
PEP,Consumer Staples,156.02,109.32,2.49,25.08,2.72
PKI,Health Care,5.94,54.08,2.82,25.4,0.51
PRGO,Health Care,10.08,70.3,1.76,-10000,0.88
PFE,Health Care,202.3,33.99,3.87,28.98,3.71
PCG,Utilities,33.65,66.26,1.89,23.83,2.97
PM,Consumer Staples,171.51,110.55,6.38,24.68,3.77
PSX,Energy,40.12,77.48,0.57,26.5,3.22
PNW,Utilities,9.19,82.54,2.64,20.9,3.16
PXD,Energy,32.93,193.94,8.34,-10000,0.04
PNC,Financials,61.94,127.4,4.21,17.45,1.72
RL,Consumer Discretionary,6.51,79.14,0.94,45.25,2.51
PPG,Materials,25.91,100.78,1.76,30.72,1.57
PPL,Utilities,25.04,36.79,3.33,13.19,4.31
PX,Materials,33.86,118.79,3.19,22.8,2.68
PCLN,Consumer Discretionary,85.38,1736.46,7.92,40.71,-10000
PFG,Financials,18.12,63.04,1.47,14.01,2.83
PG,Consumer Staples,230.82,90.29,3.54,16.54,2.96
PGR,Financials,22.84,39.32,0.98,22.34,1.71
PLD,Real Estate,26.76,50.55,9.78,22.28,3.44
PRU,Financials,47.83,111.24,0.8,11.46,2.67
PEG,Utilities,22.77,44.98,2.52,25.7,3.78
PSA,Real Estate,39.59,228.01,15.12,33.48,3.53
PHM,Consumer Discretionary,7.24,22.79,0.93,13.04,1.6
PVH,Consumer Discretionary,7.11,89.75,0.87,12.56,0.17
QRVO,Information Technology,8.46,66.89,2.8,-10000,-10000
QCOM,Information Technology,83.79,56.73,3.51,17.3,3.76
PWR,Industrials,5.68,37.53,0.74,29.83,-10000
DGX,Health Care,13.5,98.17,1.8,21.77,1.83
RRC,Energy,6.81,27.91,5.1,-10000,0.29
RTN,Industrials,45.24,154.48,1.87,20.76,1.91
O,Real Estate,15.57,59.84,14.07,52.96,4.19
RHT,Information Technology,14.61,81.97,6.29,62.57,-10000
REG,Real Estate,6.84,65.72,10.74,46.28,2.95
REGN,Health Care,39.29,372.52,8.29,48.39,-10000
RF,Financials,18.38,15.25,3.44,17.45,1.69
RSG,Industrials,21.05,62.08,2.24,34.88,2.06
RAI,Consumer Staples,87.24,61.18,6.99,14.4,3.32
RHI,Industrials,6.07,47.53,1.15,17.8,2.02
ROK,Industrials,19.75,153.58,3.31,26.44,1.99
COL,Industrials,12.75,97.47,2.41,17.42,1.36
ROP,Industrials,21.57,211.75,5.71,32.93,0.66
ROST,Consumer Discretionary,25.96,66.87,2.03,23.63,0.95
RCL,Consumer Discretionary,20.31,94.54,2.4,15.94,2.01
R,Industrials,4.07,76.07,0.61,15.51,2.29
SPGI,Financials,33.77,130.69,5.95,16.46,1.27
CRM,Information Technology,58.16,82.97,6.89,319.12,-10000
SCG,Utilities,9.98,69.81,2.38,16.78,3.48
SLB,Energy,111.25,79.95,4.04,-10000,2.38
SNI,Consumer Discretionary,10.14,78.34,2.97,15.12,1.53
STX,Information Technology,14.25,48.28,1.31,28.17,5.15
SEE,Materials,8.59,44.41,1.29,18.05,1.38
SRE,Utilities,27.71,110.58,2.7,20.25,3.01
SHW,Materials,28.74,310.58,2.43,25.9,1.09
SIG,Consumer Discretionary,4.4,63.25,0.67,9.47,1.61
SPG,Real Estate,55.5,177.29,10.3,30.2,3.9
SWKS,Information Technology,17.58,95.05,5.39,20.11,1.18
SLG,Real Estate,11.28,112.12,6.37,47.98,2.76
SNA,Consumer Discretionary,9.77,168.46,2.64,18.31,1.67
SO,Utilities,49.95,50.4,2.5,19.76,4.45
LUV,Industrials,34.96,56.83,1.73,16.02,0.68
SWN,Energy,3.74,7.61,1.6,-10000,0
SWK,Consumer Discretionary,19.52,127.91,1.72,19.65,1.81
SPLS,Consumer Discretionary,5.71,8.78,0.28,-10000,5.34
SBUX,Consumer Discretionary,81.91,56.2,3.81,28.82,1.58
STT,Financials,30.4,79.6,2.98,16.02,1.89
SRCL,Industrials,6.91,80.86,1.91,38.93,-10000
SYK,Health Care,48.15,129.14,4.27,29.69,1.31
STI,Financials,29.33,59.72,3.59,16.59,1.73
SYMC,Information Technology,18.13,29.29,4.77,8.82,1.03
SYF,Financials,28.86,35.6,4.13,13.14,1.44
SYY,Consumer Staples,28.25,52.3,0.53,28.52,2.53
TROW,Financials,17.26,70.9,4.1,14.93,3.2
TGT,Consumer Discretionary,30.67,55.14,0.45,11.74,4.18
TEL,Information Technology,26.42,74.36,2.11,13.01,1.96
TGNA,Consumer Discretionary,5.54,25.82,1.67,13,2.16
TDC,Information Technology,4.06,31.09,1.76,32.73,-10000
TSO,Energy,9.75,83.46,0.41,13.63,2.64
TXN,Information Technology,79.09,79.12,5.86,22.75,2.57
TXT,Industrials,12.92,47.85,0.94,13.57,0.17
BK,Financials,49.46,47.67,3.26,15.13,1.58
CLX,Consumer Staples,17.56,136.91,2.99,27.46,2.34
COO,Health Care,9.56,193.46,4.77,31.88,0.03
HSY,Consumer Staples,22.97,108.15,3.1,32.38,2.27
MOS,Materials,10.22,29.18,1.45,34.33,1.99
TRV,Financials,34.16,122.14,1.24,11.88,2.16
DIS,Consumer Discretionary,175.3,110.86,3.17,20.01,1.4
TMO,Health Care,61.39,157.26,3.37,30.89,0.37
TIF,Consumer Discretionary,11.05,88.76,2.81,24.86,1.99
TWX,Consumer Discretionary,76.07,98.24,2.59,19.83,1.63
TJX,Consumer Discretionary,51.47,78.3,1.56,22.64,1.32
TMK,Financials,9.19,78.03,2.33,17.37,0.77
TSS,Information Technology,9.95,54.26,2.38,31.31,0.73
TSCO,Consumer Discretionary,9.34,71.43,1.38,21.84,1.33
TDG,Industrials,12.82,242.56,3.98,28.35,0
RIG,Energy,4.67,12.78,1.27,6.09,0
TRIP,Consumer Discretionary,5.96,41.31,4.05,50.38,-10000
FOXA,Consumer Discretionary,56.49,30.52,2.02,18.6,1.18
FOX,Consumer Discretionary,55.73,30.11,1.99,18.35,1.2
TSN,Consumer Staples,22.72,61.89,0.62,12.49,1.42
USB,Financials,93.22,55.03,4.84,16.98,2.02
UDR,Real Estate,9.69,36.23,10.02,33.55,3.29
ULTA,Consumer Discretionary,16.8,269.92,3.78,45.24,0
UA,Consumer Discretionary,7.94,18.11,1.66,40.7,-10000
UAA,Consumer Discretionary,8.63,19.69,1.82,44.25,-10000
UNP,Industrials,88.18,108.36,4.47,21.37,2.22
UAL,Industrials,22.85,72.64,0.63,10.6,0
UNH,Health Care,160.08,168.3,0.87,23.21,1.49
UPS,Industrials,91.91,105.64,1.52,27.3,3.13
URI,Industrials,10.8,128.15,1.9,19.87,-10000
UTX,Industrials,90.48,112.28,1.57,18.35,2.35
UHS,Health Care,11.95,123.75,1.25,17.33,0.32
UNM,Financials,11.17,48.71,1.01,12.33,1.63
URBN,Consumer Discretionary,2.95,25.41,0.85,13.21,-10000
VFC,Consumer Discretionary,21.79,52.62,1.83,20.66,3.19
VLO,Energy,29.6,65.62,0.43,13.3,4.24
VAR,Health Care,8.04,86.06,2.5,24.5,0
VTR,Real Estate,22.22,62.67,6.45,33.75,4.87
VRSN,Information Technology,8.56,83.66,7.54,24.46,0
VRSK,Industrials,13.61,81.84,6.91,23.68,-10000
VZ,Telecommunications Services,201.55,49.44,1.62,15.4,4.61
VRTX,Health Care,22.69,91.32,13.27,-10000,-10000
VIAB,Consumer Discretionary,17.04,42.93,1.32,12.32,1.89
V,Information Technology,206.98,89.06,12.94,34.52,0.74
VNO,Real Estate,20.39,107.85,7.65,24.88,2.61
VMC,Materials,15.67,118.37,4.43,38.32,0.82
WMT,Consumer Staples,214.15,69.87,0.44,15.95,2.91
WBA,Consumer Staples,92.82,85.99,0.79,22.75,1.75
WM,Industrials,31.97,72.7,2.36,27.43,2.33
WAT,Health Care,12.28,153.36,5.67,23.93,0
WEC,Utilities,18.71,59.29,2.5,20.03,3.51
WFC,Financials,291.7,58.3,3.47,14.61,2.58
HCN,Real Estate,24.83,68.49,5.94,24.37,5
WDC,Information Technology,22.12,76.8,1.39,-10000,2.58
WU,Information Technology,9.57,19.9,1.76,39.02,3.51
WRK,Materials,12.79,50.9,0.93,94.61,2.96
WY,Real Estate,25.07,33.47,3.95,23.92,3.63
WHR,Consumer Discretionary,13.06,175.38,0.63,15.25,2.25
WFM,Consumer Staples,9.39,29.47,0.6,21.28,1.89
WMB,Energy,24.3,29.42,3.29,-10000,4.05
WLTW,Financials,17.45,127.63,2.26,56.47,1.63
WYN,Consumer Discretionary,8.63,82.19,1.68,14.86,2.52
WYNN,Consumer Discretionary,10.11,99.46,2.28,41.79,1.98
XEL,Utilities,22.23,43.82,1.99,19.85,3.29
XRX,Information Technology,7.48,7.36,0.7,-10000,3.4
XLNX,Information Technology,14.62,58.75,6.33,25.77,2.25
XL,Financials,10.63,40.13,1,25.72,2.18
XYL,Industrials,8.75,48.78,2.31,33.64,1.48
YHOO,Information Technology,43.74,45.73,8.45,-10000,-10000
YUM,Consumer Discretionary,22.65,64.02,3.59,15.83,2.66
ZBH,Health Care,23.54,117.07,3.07,77.53,0.81
ZION,Financials,9.17,45.28,4.01,22.75,0.71
ZTS,Health Care,26.11,53.07,5.34,32.16,0.79
